title_theme,abstract_theme,similarity_score
crisis | pandemic | covid,crisis | pandemic | covid,1.0
outsourcing | vendor | success,outsourcing | vendor | success,1.0
mobile | phone | mobile phone,health | healthcare | care,0.0
community | group | member,community | group | member,1.0
database | relational | mapping,protein | gene | pattern,0.0
service | web service | web,service | customer | service quality,0.053
financial | financial distress | distress,feature | image | classification,0.0
iot | thing | internet thing,problem | tcp | constraint,0.0
governance | data governance | participation,governance | data governance | participation,1.0
review | product | online review,review | product | online review,1.0
detection | malware | attack,detection | malware | attack,1.0
agent | multi agent | evacuation,agent | multi agent | evacuation,1.0
erp | enterprise resource | resource planning,erp | enterprise resource | resource planning,1.0
compliance | checking | process,compliance | checking | process,1.0
social | social medium | sn,social | social medium | sn,1.0
platform | metaverse | content,platform | metaverse | content,1.0
search | concept | semantic,web | application | web application,0.0
cloud | cloud computing | computing,learning | student | learner,0.0
privacy | concern | protection,health | healthcare | care,0.0
open data | big data | big,data | quality | data quality,0.053
investment | security investment | security,investment | security investment | security,1.0
disaster | disaster management | flood,market | rumor | stock,0.053
security | information security | security policy,security | information security | security policy,1.0
design | information | exchange,design | information | exchange,1.0
consumer | commerce | purchase,review | product | online review,0.111
disaster | disaster management | flood,disaster | disaster management | flood,1.0
social | social medium | sn,social | social medium | sn,1.0
adoption | institutional | pressure,learning | student | learner,0.0
review | product | online review,business process | process | business,0.0
use | acceptance | utaut,use | acceptance | utaut,1.0
service | web service | web,interaction | cs | service,0.053
attack | cyber | vulnerability,attack | cyber | vulnerability,1.0
crowdsourcing | contest | crowd,crowdsourcing | contest | crowd,1.0
learning | student | learner,crisis | pandemic | covid,0.0
payment | mobile payment | mobile,consumer | commerce | purchase,0.053
software | software development | component,software | software development | component,1.0
mobile | phone | mobile phone,use | acceptance | utaut,0.053
learning | student | learner,learning | student | learner,1.0
use | acceptance | utaut,use | acceptance | utaut,1.0
event | log | event processing,event | log | event processing,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
data | quality | data quality,community | group | member,0.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
data | quality | data quality,government | citizen | public,0.0
smart | home | smart home,smart | home | smart home,1.0
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
supply | supply chain | chain,supply | supply chain | chain,1.0
disaster | disaster management | flood,disaster | disaster management | flood,1.0
domain | text | method,domain | text | method,1.0
network | peer | social network,network | peer | social network,1.0
digital | digital technology | divide,mobile | phone | mobile phone,0.0
iot | thing | internet thing,iot | thing | internet thing,1.0
financial | financial distress | distress,prediction | rating | password,0.0
social | social medium | sn,social | social medium | sn,1.0
patient | organ | cancer,game | analytics | online game,0.0
commerce | electronic commerce | transit,sentiment | twitter | sentiment analysis,0.0
web service | web | service,web service | web | service,1.0
network | peer | social network,platform | metaverse | content,0.0
software | software development | component,attack | cyber | vulnerability,0.0
mobile | phone | mobile phone,iot | thing | internet thing,0.053
social | social medium | sn,community | group | member,0.053
smart | home | smart home,smart | home | smart home,1.0
industry | technology | industry technology,data | quality | data quality,0.0
negotiation | electronic | electronic market,negotiation | electronic | electronic market,1.0
business process | process | business,business process | process | business,1.0
investment | security investment | security,security | information security | security policy,0.111
social | social medium | sn,network | peer | social network,0.053
domain | text | method,performance | fund | task performance,0.0
review | product | online review,review | product | online review,1.0
smart | home | smart home,social | social medium | sn,0.0
event | log | event processing,business process | process | business,0.0
business process | process | business,business process | process | business,1.0
attack | cyber | vulnerability,attack | cyber | vulnerability,1.0
learning | student | learner,network | peer | social network,0.0
smart | home | smart home,smart | home | smart home,1.0
privacy | concern | protection,privacy | concern | protection,1.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
web | application | web application,web | application | web application,1.0
data | quality | data quality,risk | risk assessment | injury,0.0
patient | organ | cancer,patient | organ | cancer,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
government | citizen | public,disaster | disaster management | flood,0.0
cultural value | value | metaverses,use | acceptance | utaut,0.053
disaster | disaster management | flood,disaster | disaster management | flood,1.0
security | information security | security policy,industry | technology | industry technology,0.0
query | xml | document,query | xml | document,1.0
social | social medium | sn,social | social medium | sn,1.0
social | social medium | sn,social | social medium | sn,1.0
service | web service | web,service | web service | web,1.0
social | social medium | sn,social | social medium | sn,1.0
capability | firm | bda,open data | big data | big,0.0
prediction | rating | password,prediction | rating | password,1.0
query | xml | document,query | xml | document,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
crisis | pandemic | covid,crisis | pandemic | covid,1.0
payment | mobile payment | mobile,justice | perceived | privacy,0.111
mobile | phone | mobile phone,energy | user | ubiquitous,0.053
health | healthcare | care,health | healthcare | care,1.0
service | web service | web,service | customer | service quality,0.053
game | analytics | online game,game | analytics | online game,1.0
disaster | disaster management | flood,sentiment | twitter | sentiment analysis,0.0
knowledge | knowledge sharing | sharing,recommender | content | recommendation,0.0
prediction | rating | password,feature | image | classification,0.111
privacy | concern | protection,privacy | concern | protection,1.0
design | information | exchange,knowledge | knowledge sharing | sharing,0.0
health | healthcare | care,health | healthcare | care,1.0
social | social medium | sn,sentiment | twitter | sentiment analysis,0.0
customer | chatbot | loyalty,customer | chatbot | loyalty,1.0
search | concept | semantic,problem | tcp | constraint,0.0
crowdsourcing | contest | crowd,crowdsourcing | contest | crowd,1.0
agent | multi agent | evacuation,decision | decision making | making,0.0
learning | student | learner,learning | student | learner,1.0
emergency | emergency management | universal,emergency | emergency management | universal,1.0
health | healthcare | care,health | healthcare | care,1.0
information | modeling | approach,ethical | human | generative,0.0
learning | student | learner,learning | student | learner,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
digital | digital technology | divide,model | test | test case,0.0
ict | diffusion | country,adoption | institutional | pressure,0.0
network | peer | social network,community | group | member,0.0
decision | decision making | making,decision | decision making | making,1.0
network | peer | social network,workflow | management | generator,0.0
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
investment | security investment | security,investment | security investment | security,1.0
customer | chatbot | loyalty,customer | chatbot | loyalty,1.0
game | analytics | online game,ict | diffusion | country,0.0
research | citation | journal,open data | big data | big,0.0
open data | big data | big,social | social medium | sn,0.0
review | product | online review,review | product | online review,1.0
cloud | cloud computing | computing,government | citizen | public,0.053
data | quality | data quality,query | xml | document,0.0
data | quality | data quality,graph | bias | property,0.0
review | product | online review,review | product | online review,1.0
information | modeling | approach,research | citation | journal,0.0
interaction | cs | service,interaction | cs | service,1.0
enterprise | architecture | enterprise architecture,enterprise | architecture | enterprise architecture,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
game | analytics | online game,open data | big data | big,0.053
financial | financial distress | distress,prediction | rating | password,0.0
agent | multi agent | evacuation,reality | extended reality | task,0.0
investment | security investment | security,investment | security investment | security,1.0
prediction | rating | password,prediction | rating | password,1.0
risk | risk assessment | injury,risk | risk assessment | injury,1.0
review | product | online review,social | social medium | sn,0.0
governance | data governance | participation,governance | data governance | participation,1.0
information | modeling | approach,information | modeling | approach,1.0
privacy | concern | protection,privacy | concern | protection,1.0
detection | malware | attack,detection | malware | attack,1.0
compliance | checking | process,compliance | checking | process,1.0
social | social medium | sn,social | social medium | sn,1.0
data | quality | data quality,data | quality | data quality,1.0
information | modeling | approach,information | modeling | approach,1.0
design | information | exchange,design | information | exchange,1.0
team | audit | internal,team | audit | internal,1.0
commerce | electronic commerce | transit,code | program | source code,0.0
capability | firm | bda,capability | firm | bda,1.0
security | information security | security policy,security | information security | security policy,1.0
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
consumer | commerce | purchase,consumer | commerce | purchase,1.0
recommender | content | recommendation,customer | chatbot | loyalty,0.053
rdf | reporting | graph,rdf | reporting | graph,1.0
disaster | disaster management | flood,disaster | disaster management | flood,1.0
query | xml | document,query | xml | document,1.0
disaster | disaster management | flood,emergency | emergency management | universal,0.111
sustainability | green | smes,ict | diffusion | country,0.0
adoption | institutional | pressure,adoption | institutional | pressure,1.0
review | product | online review,review | product | online review,1.0
energy | user | ubiquitous,energy | user | ubiquitous,1.0
social | social medium | sn,social | social medium | sn,1.0
service | customer | service quality,service | customer | service quality,1.0
platform | metaverse | content,platform | metaverse | content,1.0
search | concept | semantic,graph | bias | property,0.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
market | rumor | stock,market | rumor | stock,1.0
information | modeling | approach,research | citation | journal,0.0
team | audit | internal,team | audit | internal,1.0
enterprise | architecture | enterprise architecture,detection | malware | attack,0.0
government | citizen | public,government | citizen | public,1.0
innovation | firm | service innovation,innovation | firm | service innovation,1.0
smart | home | smart home,smart | home | smart home,1.0
security | information security | security policy,security | information security | security policy,1.0
mobile | phone | mobile phone,mobile | phone | mobile phone,1.0
security | information security | security policy,security | information security | security policy,1.0
search | concept | semantic,search | concept | semantic,1.0
network | peer | social network,network | peer | social network,1.0
social | social medium | sn,social | social medium | sn,1.0
smart | home | smart home,research | citation | journal,0.0
project | project management | offshore,project | project management | offshore,1.0
information | modeling | approach,information | modeling | approach,1.0
project | project management | offshore,enterprise | architecture | enterprise architecture,0.0
user | caching | service,user | caching | service,1.0
customer | chatbot | loyalty,social | social medium | sn,0.0
domain | text | method,domain | text | method,1.0
platform | metaverse | content,crowdsourcing | contest | crowd,0.0
open data | big data | big,open data | big data | big,1.0
cloud | cloud computing | computing,decision | decision making | making,0.0
search | concept | semantic,search | concept | semantic,1.0
workflow | management | generator,patient | organ | cancer,0.0
adoption | institutional | pressure,adoption | institutional | pressure,1.0
web service | web | service,service | web service | web,0.25
detection | malware | attack,attack | cyber | vulnerability,0.053
smart | home | smart home,industry | technology | industry technology,0.111
web service | web | service,prediction | rating | password,0.0
social | social medium | sn,social | social medium | sn,1.0
graph | bias | property,graph | bias | property,1.0
market | rumor | stock,market | rumor | stock,1.0
code | program | source code,code | program | source code,1.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
team | audit | internal,team | audit | internal,1.0
crowdsourcing | contest | crowd,crowdsourcing | contest | crowd,1.0
use | acceptance | utaut,use | acceptance | utaut,1.0
game | analytics | online game,user | caching | service,0.0
detection | malware | attack,privacy | concern | protection,0.0
social | social medium | sn,knowledge | knowledge sharing | sharing,0.0
protein | gene | pattern,game | analytics | online game,0.053
digital | digital technology | divide,government | citizen | public,0.111
supply | supply chain | chain,supply | supply chain | chain,1.0
health | healthcare | care,health | healthcare | care,1.0
recommender | content | recommendation,recommender | content | recommendation,1.0
software | software development | component,software | software development | component,1.0
domain | text | method,domain | text | method,1.0
health | healthcare | care,health | healthcare | care,1.0
emergency | emergency management | universal,disaster | disaster management | flood,0.111
detection | malware | attack,attack | cyber | vulnerability,0.053
security | information security | security policy,outsourcing | vendor | success,0.0
game | analytics | online game,game | analytics | online game,1.0
health | healthcare | care,health | healthcare | care,1.0
risk | risk assessment | injury,risk | risk assessment | injury,1.0
social | social medium | sn,social | social medium | sn,1.0
digital | digital technology | divide,risk | risk assessment | injury,0.0
smart | home | smart home,smart | home | smart home,1.0
feature | image | classification,model | test | test case,0.0
news | fake news | fake,market | rumor | stock,0.0
consumer | commerce | purchase,social | social medium | sn,0.0
game | analytics | online game,game | analytics | online game,1.0
model | test | test case,model | test | test case,1.0
game | analytics | online game,game | analytics | online game,1.0
financial | financial distress | distress,prediction | rating | password,0.0
health | healthcare | care,network | peer | social network,0.0
social | social medium | sn,government | citizen | public,0.0
governance | data governance | participation,governance | data governance | participation,1.0
network | peer | social network,network | peer | social network,1.0
cloud | cloud computing | computing,blockchain | token | blockchain technology,0.0
data | quality | data quality,data | quality | data quality,1.0
trust | distrust | consumer,trust | distrust | consumer,1.0
social | social medium | sn,social | social medium | sn,1.0
team | audit | internal,feature | image | classification,0.0
service | web service | web,web service | web | service,0.25
review | product | online review,knowledge | knowledge sharing | sharing,0.0
justice | perceived | privacy,trust | distrust | consumer,0.0
community | group | member,community | group | member,1.0
model | test | test case,model | test | test case,1.0
data | quality | data quality,data | quality | data quality,1.0
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
business process | process | business,business process | process | business,1.0
community | group | member,social | social medium | sn,0.053
database | relational | mapping,problem | tcp | constraint,0.0
data | quality | data quality,patient | organ | cancer,0.0
design | information | exchange,design | information | exchange,1.0
security | information security | security policy,security | information security | security policy,1.0
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
health | healthcare | care,health | healthcare | care,1.0
open data | big data | big,open data | big data | big,1.0
payment | mobile payment | mobile,social | social medium | sn,0.0
problem | tcp | constraint,problem | tcp | constraint,1.0
model | test | test case,model | test | test case,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
smart | home | smart home,smart | home | smart home,1.0
use | acceptance | utaut,use | acceptance | utaut,1.0
investment | security investment | security,investment | security investment | security,1.0
game | analytics | online game,game | analytics | online game,1.0
recommender | content | recommendation,data | quality | data quality,0.0
mobile | phone | mobile phone,mobile | phone | mobile phone,1.0
smart | home | smart home,smart | home | smart home,1.0
project | project management | offshore,software | software development | component,0.0
event | log | event processing,market | rumor | stock,0.0
capability | firm | bda,capability | firm | bda,1.0
agent | multi agent | evacuation,cultural value | value | metaverses,0.0
network | peer | social network,network | peer | social network,1.0
information | modeling | approach,protein | gene | pattern,0.0
data | quality | data quality,data | quality | data quality,1.0
emergency | emergency management | universal,emergency | emergency management | universal,1.0
energy | user | ubiquitous,energy | user | ubiquitous,1.0
virtual | satisfaction | turnover,market | rumor | stock,0.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
investment | security investment | security,investment | security investment | security,1.0
governance | data governance | participation,governance | data governance | participation,1.0
learning | student | learner,learning | student | learner,1.0
crisis | pandemic | covid,event | log | event processing,0.0
business process | process | business,collaboration | process | event log,0.053
adoption | institutional | pressure,use | acceptance | utaut,0.053
business process | process | business,business process | process | business,1.0
social | social medium | sn,recommender | content | recommendation,0.111
capability | firm | bda,capability | firm | bda,1.0
event | log | event processing,event | log | event processing,1.0
internet | internet access | addiction,internet | internet access | addiction,1.0
information | modeling | approach,information | modeling | approach,1.0
emergency | emergency management | universal,disaster | disaster management | flood,0.111
software | software development | component,software | software development | component,1.0
mobile | phone | mobile phone,use | acceptance | utaut,0.053
health | healthcare | care,health | healthcare | care,1.0
emergency | emergency management | universal,mobile | phone | mobile phone,0.0
feature | image | classification,feature | image | classification,1.0
ict | diffusion | country,ict | diffusion | country,1.0
emergency | emergency management | universal,disaster | disaster management | flood,0.111
software | software development | component,model | test | test case,0.0
network | peer | social network,network | peer | social network,1.0
social | social medium | sn,team | audit | internal,0.0
query | xml | document,query | xml | document,1.0
ict | diffusion | country,ict | diffusion | country,1.0
crisis | pandemic | covid,crisis | pandemic | covid,1.0
learning | student | learner,domain | text | method,0.0
security | information security | security policy,security | information security | security policy,1.0
blockchain | token | blockchain technology,blockchain | token | blockchain technology,1.0
open data | big data | big,open data | big data | big,1.0
research | citation | journal,research | citation | journal,1.0
knowledge | knowledge sharing | sharing,reality | extended reality | task,0.0
video | topic | collaborative tagging,prediction | rating | password,0.0
resource | resource allocation | allocation,resource | resource allocation | allocation,1.0
mobile | phone | mobile phone,payment | mobile payment | mobile,0.176
use | acceptance | utaut,use | acceptance | utaut,1.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
software | software development | component,open data | big data | big,0.0
privacy | concern | protection,privacy | concern | protection,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
query | xml | document,query | xml | document,1.0
supply | supply chain | chain,smart | home | smart home,0.0
recommender | content | recommendation,recommender | content | recommendation,1.0
project | project management | offshore,project | project management | offshore,1.0
productivity | intranet | vision,productivity | intranet | vision,1.0
network | peer | social network,mobile | phone | mobile phone,0.053
privacy | concern | protection,authentication | security | protocol,0.0
mobile | phone | mobile phone,use | acceptance | utaut,0.053
internet | internet access | addiction,security | information security | security policy,0.0
decision | decision making | making,service | web service | web,0.0
financial | financial distress | distress,code | program | source code,0.0
enterprise | architecture | enterprise architecture,enterprise | architecture | enterprise architecture,1.0
detection | malware | attack,detection | malware | attack,1.0
patient | organ | cancer,patient | organ | cancer,1.0
supply | supply chain | chain,supply | supply chain | chain,1.0
network | peer | social network,network | peer | social network,1.0
query | xml | document,domain | text | method,0.0
trust | distrust | consumer,security | information security | security policy,0.0
recommender | content | recommendation,recommender | content | recommendation,1.0
crowdsourcing | contest | crowd,crowdsourcing | contest | crowd,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
consumer | commerce | purchase,trust | distrust | consumer,0.053
decision | decision making | making,decision | decision making | making,1.0
access control | control | access,access control | control | access,1.0
cloud | cloud computing | computing,innovation | firm | service innovation,0.0
decision | decision making | making,consumer | commerce | purchase,0.0
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
customer | chatbot | loyalty,platform | metaverse | content,0.0
government | citizen | public,government | citizen | public,1.0
open data | big data | big,data | quality | data quality,0.053
learning | student | learner,domain | text | method,0.0
service | web service | web,service | customer | service quality,0.053
code | program | source code,code | program | source code,1.0
network | peer | social network,social | social medium | sn,0.053
customer | chatbot | loyalty,customer | chatbot | loyalty,1.0
sentiment | twitter | sentiment analysis,sentiment | twitter | sentiment analysis,1.0
disaster | disaster management | flood,disaster | disaster management | flood,1.0
consumer | commerce | purchase,consumer | commerce | purchase,1.0
supply | supply chain | chain,sustainability | green | smes,0.0
community | group | member,knowledge | knowledge sharing | sharing,0.0
consumer | commerce | purchase,consumer | commerce | purchase,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
disaster | disaster management | flood,disaster | disaster management | flood,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
governance | data governance | participation,governance | data governance | participation,1.0
decision | decision making | making,data | quality | data quality,0.0
web | application | web application,internet | internet access | addiction,0.0
privacy | concern | protection,privacy | concern | protection,1.0
rfid | tag | protocol,rfid | tag | protocol,1.0
enterprise | architecture | enterprise architecture,rdf | reporting | graph,0.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
web | application | web application,software | software development | component,0.053
crowdsourcing | contest | crowd,crowdsourcing | contest | crowd,1.0
abstract | available | editor,social | social medium | sn,0.0
enterprise | architecture | enterprise architecture,adoption | institutional | pressure,0.0
mobile | phone | mobile phone,payment | mobile payment | mobile,0.176
social | social medium | sn,commerce | electronic commerce | transit,0.0
query | xml | document,query | xml | document,1.0
review | product | online review,review | product | online review,1.0
open data | big data | big,open data | big data | big,1.0
event | log | event processing,event | log | event processing,1.0
innovation | firm | service innovation,use | acceptance | utaut,0.0
learning | student | learner,learning | student | learner,1.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
health | healthcare | care,health | healthcare | care,1.0
resource | resource allocation | allocation,open data | big data | big,0.0
business process | process | business,business process | process | business,1.0
trust | distrust | consumer,trust | distrust | consumer,1.0
innovation | firm | service innovation,innovation | firm | service innovation,1.0
attack | cyber | vulnerability,attack | cyber | vulnerability,1.0
sustainability | green | smes,sustainability | green | smes,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
network | peer | social network,learning | student | learner,0.0
event | log | event processing,collaboration | process | event log,0.111
business process | process | business,business process | process | business,1.0
market | rumor | stock,market | rumor | stock,1.0
ict | diffusion | country,ict | diffusion | country,1.0
knowledge | knowledge sharing | sharing,model | test | test case,0.0
database | relational | mapping,database | relational | mapping,1.0
project | project management | offshore,project | project management | offshore,1.0
digital | digital technology | divide,ethical | human | generative,0.0
event | log | event processing,event | log | event processing,1.0
knowledge | knowledge sharing | sharing,social | social medium | sn,0.0
health | healthcare | care,health | healthcare | care,1.0
crowdsourcing | contest | crowd,crowdsourcing | contest | crowd,1.0
design | information | exchange,health | healthcare | care,0.0
smart | home | smart home,smart | home | smart home,1.0
agent | multi agent | evacuation,cultural value | value | metaverses,0.0
search | concept | semantic,search | concept | semantic,1.0
rfid | tag | protocol,rfid | tag | protocol,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
enterprise | architecture | enterprise architecture,business process | process | business,0.176
feature | image | classification,feature | image | classification,1.0
service | web service | web,workflow | management | generator,0.0
service | web service | web,service | web service | web,1.0
attack | cyber | vulnerability,attack | cyber | vulnerability,1.0
service | web service | web,user | caching | service,0.053
privacy | concern | protection,privacy | concern | protection,1.0
community | group | member,social | social medium | sn,0.053
database | relational | mapping,database | relational | mapping,1.0
erp | enterprise resource | resource planning,erp | enterprise resource | resource planning,1.0
information | modeling | approach,innovation | firm | service innovation,0.0
investment | security investment | security,market | rumor | stock,0.0
knowledge | knowledge sharing | sharing,security | information security | security policy,0.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
supply | supply chain | chain,supply | supply chain | chain,1.0
network | peer | social network,network | peer | social network,1.0
network | peer | social network,news | fake news | fake,0.0
risk | risk assessment | injury,risk | risk assessment | injury,1.0
emergency | emergency management | universal,emergency | emergency management | universal,1.0
web service | web | service,service | web service | web,0.25
compliance | checking | process,compliance | checking | process,1.0
review | product | online review,research | citation | journal,0.0
business process | process | business,business process | process | business,1.0
compliance | checking | process,risk | risk assessment | injury,0.0
investment | security investment | security,investment | security investment | security,1.0
outsourcing | vendor | success,knowledge | knowledge sharing | sharing,0.0
community | group | member,social | social medium | sn,0.053
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
mobile | phone | mobile phone,mobile | phone | mobile phone,1.0
enterprise | architecture | enterprise architecture,enterprise | architecture | enterprise architecture,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
smart | home | smart home,service | web service | web,0.0
event | log | event processing,sentiment | twitter | sentiment analysis,0.0
web service | web | service,web service | web | service,1.0
digital | digital technology | divide,smart | home | smart home,0.053
government | citizen | public,government | citizen | public,1.0
project | project management | offshore,project | project management | offshore,1.0
news | fake news | fake,news | fake news | fake,1.0
disaster | disaster management | flood,disaster | disaster management | flood,1.0
protein | gene | pattern,collaboration | process | event log,0.053
web | application | web application,web | application | web application,1.0
smart | home | smart home,smart | home | smart home,1.0
review | product | online review,review | product | online review,1.0
risk | risk assessment | injury,risk | risk assessment | injury,1.0
knowledge | knowledge sharing | sharing,patient | organ | cancer,0.0
smart | home | smart home,smart | home | smart home,1.0
security | information security | security policy,security | information security | security policy,1.0
mobile | phone | mobile phone,mobile | phone | mobile phone,1.0
web | application | web application,web | application | web application,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
emergency | emergency management | universal,emergency | emergency management | universal,1.0
business process | process | business,business process | process | business,1.0
web service | web | service,web service | web | service,1.0
resource | resource allocation | allocation,resource | resource allocation | allocation,1.0
community | group | member,community | group | member,1.0
project | project management | offshore,project | project management | offshore,1.0
social | social medium | sn,social | social medium | sn,1.0
rfid | tag | protocol,rfid | tag | protocol,1.0
game | analytics | online game,game | analytics | online game,1.0
business process | process | business,knowledge | knowledge sharing | sharing,0.111
cloud | cloud computing | computing,resource | resource allocation | allocation,0.053
network | peer | social network,game | analytics | online game,0.0
health | healthcare | care,health | healthcare | care,1.0
rfid | tag | protocol,rfid | tag | protocol,1.0
service | web service | web,agent | multi agent | evacuation,0.0
sustainability | green | smes,sustainability | green | smes,1.0
web | application | web application,recommender | content | recommendation,0.0
investment | security investment | security,investment | security investment | security,1.0
adoption | institutional | pressure,adoption | institutional | pressure,1.0
service | web service | web,service | web service | web,1.0
service | web service | web,access control | control | access,0.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
agent | multi agent | evacuation,network | peer | social network,0.0
internet | internet access | addiction,web | application | web application,0.0
authentication | security | protocol,authentication | security | protocol,1.0
network | peer | social network,network | peer | social network,1.0
commerce | electronic commerce | transit,use | acceptance | utaut,0.0
outsourcing | vendor | success,outsourcing | vendor | success,1.0
erp | enterprise resource | resource planning,erp | enterprise resource | resource planning,1.0
decision | decision making | making,decision | decision making | making,1.0
learning | student | learner,learning | student | learner,1.0
business process | process | business,business process | process | business,1.0
information | modeling | approach,collaboration | process | event log,0.0
outsourcing | vendor | success,outsourcing | vendor | success,1.0
feature | image | classification,feature | image | classification,1.0
information | modeling | approach,information | modeling | approach,1.0
learning | student | learner,learning | student | learner,1.0
web service | web | service,privacy | concern | protection,0.0
virtual | satisfaction | turnover,social | social medium | sn,0.0
user | caching | service,energy | user | ubiquitous,0.053
rfid | tag | protocol,rfid | tag | protocol,1.0
service | web service | web,interaction | cs | service,0.053
rfid | tag | protocol,community | group | member,0.0
knowledge | knowledge sharing | sharing,service | web service | web,0.0
productivity | intranet | vision,learning | student | learner,0.0
workflow | management | generator,web service | web | service,0.0
query | xml | document,query | xml | document,1.0
information | modeling | approach,information | modeling | approach,1.0
trust | distrust | consumer,trust | distrust | consumer,1.0
collaboration | process | event log,collaboration | process | event log,1.0
business process | process | business,business process | process | business,1.0
search | concept | semantic,search | concept | semantic,1.0
smart | home | smart home,smart | home | smart home,1.0
design | information | exchange,learning | student | learner,0.0
sustainability | green | smes,sustainability | green | smes,1.0
security | information security | security policy,capability | firm | bda,0.0
information | modeling | approach,knowledge | knowledge sharing | sharing,0.0
compliance | checking | process,compliance | checking | process,1.0
rfid | tag | protocol,rfid | tag | protocol,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
enterprise | architecture | enterprise architecture,compliance | checking | process,0.053
innovation | firm | service innovation,service | customer | service quality,0.0
crowdsourcing | contest | crowd,crowdsourcing | contest | crowd,1.0
rfid | tag | protocol,rfid | tag | protocol,1.0
information | modeling | approach,research | citation | journal,0.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
decision | decision making | making,decision | decision making | making,1.0
design | information | exchange,design | information | exchange,1.0
security | information security | security policy,security | information security | security policy,1.0
information | modeling | approach,feature | image | classification,0.0
government | citizen | public,government | citizen | public,1.0
web | application | web application,web | application | web application,1.0
news | fake news | fake,news | fake news | fake,1.0
risk | risk assessment | injury,risk | risk assessment | injury,1.0
agent | multi agent | evacuation,agent | multi agent | evacuation,1.0
resource | resource allocation | allocation,resource | resource allocation | allocation,1.0
data | quality | data quality,data | quality | data quality,1.0
attack | cyber | vulnerability,attack | cyber | vulnerability,1.0
network | peer | social network,network | peer | social network,1.0
mobile | phone | mobile phone,justice | perceived | privacy,0.0
workflow | management | generator,workflow | management | generator,1.0
service | web service | web,service | web service | web,1.0
agent | multi agent | evacuation,knowledge | knowledge sharing | sharing,0.0
governance | data governance | participation,governance | data governance | participation,1.0
learning | student | learner,learning | student | learner,1.0
web service | web | service,web service | web | service,1.0
disaster | disaster management | flood,disaster | disaster management | flood,1.0
business process | process | business,business process | process | business,1.0
social | social medium | sn,platform | metaverse | content,0.0
attack | cyber | vulnerability,attack | cyber | vulnerability,1.0
sustainability | green | smes,sustainability | green | smes,1.0
access control | control | access,access control | control | access,1.0
trust | distrust | consumer,supply | supply chain | chain,0.0
privacy | concern | protection,software | software development | component,0.0
industry | technology | industry technology,decision | decision making | making,0.0
enterprise | architecture | enterprise architecture,enterprise | architecture | enterprise architecture,1.0
service | web service | web,service | web service | web,1.0
innovation | firm | service innovation,innovation | firm | service innovation,1.0
collaboration | process | event log,business process | process | business,0.053
investment | security investment | security,investment | security investment | security,1.0
social | social medium | sn,social | social medium | sn,1.0
query | xml | document,query | xml | document,1.0
information | modeling | approach,knowledge | knowledge sharing | sharing,0.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
mobile | phone | mobile phone,mobile | phone | mobile phone,1.0
web service | web | service,web service | web | service,1.0
investment | security investment | security,performance | fund | task performance,0.0
code | program | source code,code | program | source code,1.0
adoption | institutional | pressure,cultural value | value | metaverses,0.0
enterprise | architecture | enterprise architecture,service | web service | web,0.0
data | quality | data quality,network | peer | social network,0.0
rfid | tag | protocol,rfid | tag | protocol,1.0
social | social medium | sn,social | social medium | sn,1.0
